,runstring,m1,m2,m3
236,0000236.bin,6.566537547990588e-07,2.1424169689864119e-07,2.528465035642765e-06
237,0000237.bin,6.431739170355098e-07,1.4145969853898238e-06,4.614123183137255e-06
238,0000238.bin,1.249063967504294e-06,8.598853226212549e-07,8.247330695048823e-06
239,0000239.bin,1.569581529513196e-07,1.2487444443731959e-05,4.426629446482942e-06
240,0000240.bin,2.0548346116729805e-06,3.829377874955686e-07,3.380407562128235e-06
241,0000241.bin,4.810789028199216e-07,4.4277621126113726e-07,2.74719181886449e-06
242,0000242.bin,1.0580851425037453e-06,1.8912321425672746e-06,9.738421864740198e-07
243,0000243.bin,3.2438753658235296e-07,1.3855580318720196e-06,5.446948244693137e-06
244,0000244.bin,1.126016203600804e-06,1.1029012581197255e-06,8.960772284189216e-06
245,0000245.bin,1.444244546271137e-06,5.448341985416864e-07,2.635560369296196e-06
246,0000246.bin,6.844668951736863e-07,3.452138280431176e-07,5.118341096047452e-06
247,0000247.bin,1.4745134698972549e-06,2.635560369296196e-06,2.690797258185451e-06
248,0000248.bin,3.7498086331307844e-06,3.452138280431176e-07,5.446948244693137e-06
249,0000249.bin,4.615303824307647e-07,7.914227022578627e-07,6.842918016528431e-06
250,0000250.bin,9.53851080683902e-07,8.249440985079412e-07,1.9713369233232747e-06
251,0000251.bin,3.1120613050698044e-07,6.844668951736863e-07,3.3110143009360785e-06
252,0000252.bin,6.170387064578431e-07,1.1029012581197255e-06,2.86355151547451e-06
253,0000253.bin,2.3759261003461174e-06,1.635643997802941e-06,2.528465035642765e-06
254,0000254.bin,1.8143823994598823e-06,3.1772848478519603e-07,2.9235667132941175e-06
255,0000255.bin,5.679111244445295e-07,1.4145969853898238e-06,5.918140628680392e-06
256,0000256.bin,1.0583558805876078e-07,1.0802608179808823e-06,6.988121639350392e-07
257,0000257.bin,1.852408786626157e-06,5.119650754229216e-07,6.7024460798252925e-06
258,0000258.bin,2.9235667132941175e-06,8.963065126449606e-07,4.335759263634118e-06
259,0000259.bin,5.562530020862941e-07,4.246754470726274e-06,3.176472066414706e-06
260,0000260.bin,2.0984372719982942e-07,1.635643997802941e-06,2.9235667132941175e-06
261,0000261.bin,7.751763173860588e-07,9.340313580609215e-06,8.078028869050196e-06
262,0000262.bin,9.73593067842353e-06,1.126016203600804e-06,4.426629446482942e-06
263,0000263.bin,2.74719181886449e-06,4.1606411087978434e-07,1.5691800147637062e-06
264,0000264.bin,1.635643997802941e-06,2.0979004706267447e-06,4.809558379928824e-06
265,0000265.bin,1.1737095983385883e-06,2.1418689171655687e-06,1.5691800147637062e-06
266,0000266.bin,1.0805372302767059e-07,3.11126520848e-06,2.9235667132941175e-06
267,0000267.bin,2.528465035642765e-06,2.2325896362938236e-06,2.74719181886449e-06
268,0000268.bin,3.829377874955686e-07,3.2438753658235296e-07,1.7406554263613921e-06
269,0000269.bin,7.284109603611176e-07,3.381272525667451e-07,3.990553417410784e-06
270,0000270.bin,4.810789028199216e-07,3.1120613050698044e-07,8.247330695048823e-06
271,0000271.bin,3.380407562128235e-06,5.335132880668627e-06,8.247330695048823e-06
272,0000272.bin,4.809558379928824e-06,5.446948244693137e-06,5.013271404317647e-06
273,0000273.bin,1.0802608179808823e-06,5.448341985416864e-07,3.047396921812941e-06
274,0000274.bin,1.4145969853898238e-06,1.0150901184878236e-06,1.8912321425672746e-06
275,0000275.bin,5.798135813357844e-07,9.150915815918627e-07,5.335132880668627e-06
276,0000276.bin,1.852408786626157e-06,4.074188669447256e-06,2.86355151547451e-06
277,0000277.bin,1.60206737455751e-06,3.598356596961176e-07,4.7108274030745095e-06
278,0000278.bin,1.3859125622527059e-07,6.704161071675295e-07,6.042174849326863e-06
279,0000279.bin,6.844668951736863e-07,1.5369677691715684e-06,1.5691800147637062e-06
280,0000280.bin,1.7771366208366078e-06,1.635643997802941e-06,2.9235667132941175e-06
281,0000281.bin,1.4145969853898238e-06,3.7507681173707846e-07,2.1867588679967845e-06
282,0000282.bin,6.566537547990588e-07,3.828398281579019e-06,5.918140628680392e-06
283,0000283.bin,8.080095838857058e-07,2.1867588679967845e-06,8.598853226212549e-07
284,0000284.bin,5.22694997724059e-07,8.080095838857058e-07,2.8047683141909795e-06
285,0000285.bin,9.942522720410394e-07,1.0802608179808823e-06,6.98633400751e-06
286,0000286.bin,2.3759261003461174e-06,2.8047683141909795e-06,4.614123183137255e-06
287,0000287.bin,2.3759261003461174e-06,2.1418689171655687e-06,2.1418689171655687e-06
288,0000288.bin,5.22694997724059e-07,7.592634395284313e-07,7.13275575516706e-06
289,0000289.bin,9.738421864740198e-07,1.9713369233232747e-06,2.690797258185451e-06
290,0000290.bin,7.590692122991571e-06,1.3855580318720196e-06,2.635560369296196e-06
291,0000291.bin,8.080095838857058e-07,1.0802608179808823e-06,4.809558379928824e-06
